rep,id,OCC,ka,V,Cl,C1,C2,C3,C4
1,1,1,1.00657999813509,0.0937378780164745,0.027489734240933,5,7,A,A
1,1,2,1.06135133786547,0.0943231221686341,0.027489734240933,5,12,A,B
1,2,1,1.35687182884616,0.0908780814497869,0.0548545560680648,10,9,A,A
1,2,2,1.34118919541043,0.0902056564034283,0.0548545560680648,10,14,A,B
1,3,1,1.10288122205304,0.306992563667229,0.0434627908526348,15,11,A,A
1,3,2,1.11497821294532,0.303224456996061,0.0434627908526348,15,16,A,B
1,4,1,1.15384669650786,0.236313007020862,0.0197046202896769,20,13,A,A
1,5,1,0.938692706808905,0.20717545300225,0.0227993813413433,25,15,A,A
1,5,2,0.929730489217482,0.205420929421601,0.0227993813413433,25,20,A,B
1,6,1,1.37592121578906,0.192614121509127,0.0168337610334898,30,17,A,A
1,6,2,1.3568149872994,0.190129107030713,0.0168337610334898,30,22,A,B
1,6,3,1.37259083195178,0.191962549776693,0.0168337610334898,30,27,A,B
1,7,1,0.828733696474405,0.247494241102227,0.039549046852821,35,19,A,A
1,8,1,1.33144606640378,0.315290378973651,0.0225710346831094,40,21,A,A
1,9,1,0.832663520505672,0.265270154315596,0.0348179961064547,45,23,A,A
1,10,1,0.98114138095357,0.130897781220198,0.0292101132345701,50,25,A,A
1,10,2,1.01146713125639,0.131636507009595,0.0292101132345701,50,30,A,B
1,11,1,0.768918358828815,0.208141808831549,0.016395373548918,55,27,A,A
1,11,2,0.766237654788125,0.214821511108668,0.016395373548918,55,32,A,B
1,12,1,1.5441912129561,0.185188726510017,0.0234700879375932,60,29,A,A
1,12,2,1.54173374163405,0.183518880692434,0.0234700879375932,60,34,A,B
1,13,1,1.17152375953138,0.201796954678007,0.0300507560999405,65,31,A,A
1,14,1,1.09617172119769,0.178608931925433,0.0289920084661134,70,33,A,A
1,14,2,1.13235634823064,0.182101834361445,0.0289920084661134,70,38,A,B
1,15,1,1.26773119682026,0.261131920035943,0.0500734613199276,75,35,A,A
1,15,2,1.32556996254028,0.260399915434437,0.0500734613199276,75,40,A,B
1,15,3,1.32733481360189,0.259026275311106,0.0500734613199276,75,45,A,B
1,16,1,0.763717126519893,0.275197340622804,0.031305718169488,80,37,A,A
1,16,2,0.797961256661704,0.277621256647077,0.031305718169488,80,42,A,B
1,17,1,0.787180296907702,0.189342808344744,0.0410166466412393,85,39,A,A
1,17,2,0.811943831316289,0.18866138973138,0.0410166466412393,85,44,A,B
1,17,3,0.783266937356165,0.192032795410296,0.0410166466412393,85,49,A,B
1,18,1,0.636362505651937,0.375353943064894,0.0218689712034339,90,41,A,A
1,18,2,0.630073998185063,0.373722156244163,0.0218689712034339,90,46,A,B
1,18,3,0.624071949636766,0.374311751263604,0.0218689712034339,90,51,A,B
1,19,1,0.777911876681769,0.125461583161129,0.042188212675924,95,43,A,A
1,19,2,0.805045565924396,0.123701061995698,0.042188212675924,95,48,A,B
1,20,1,1.40445816876083,0.27702983720843,0.0304732938873128,100,45,A,A
1,20,2,1.44045428771314,0.27898106333893,0.0304732938873128,100,50,A,B
1,21,1,2.22898747456258,0.258335274472878,0.0565802300529924,105,47,A,A
1,21,2,2.22214298801366,0.257299717656057,0.0565802300529924,105,52,A,B
1,22,1,0.611693127696774,0.27522810351091,0.0374773232935422,110,49,A,A
1,22,2,0.607355436887011,0.271031716919753,0.0374773232935422,110,54,A,B
1,22,3,0.630681214510751,0.275177960808988,0.0374773232935422,110,59,A,B
1,23,1,1.51827581965979,0.144827771601809,0.0579873807392715,115,51,A,A
1,23,2,1.58598254383239,0.146456536202051,0.0579873807392715,115,56,A,B
1,23,3,1.59982535578358,0.14696130631672,0.0579873807392715,115,61,A,B
1,24,1,0.647446223022796,0.192889754599009,0.0210039471673233,120,53,A,A
1,24,2,0.653388677809537,0.192377130792799,0.0210039471673233,120,58,A,B
1,25,1,1.53507230581068,0.181489230398285,0.0344792790560988,125,55,A,A
1,25,2,1.50292545460481,0.184799860157881,0.0344792790560988,125,60,A,B
1,26,1,1.38591452274522,0.187490496041092,0.0313420297632718,130,57,A,A
