rep,id,OCC,ka,V,Cl,C1,C2,C3,C4
1,1,1,1.05163635784883,0.101732783742643,0.0297743691890857,5,7,A,A
1,1,2,1.04592656957596,0.103777369786754,0.0297743691890857,5,12,A,B
1,2,1,1.27559611312762,0.0924535502290904,0.056219628562977,10,9,A,A
1,2,2,1.25504054165218,0.0931725660709557,0.056219628562977,10,14,A,B
1,3,1,1.08663698090901,0.280366689132693,0.0411873436097413,15,11,A,A
1,3,2,1.08380221976109,0.279002620863195,0.0411873436097413,15,16,A,B
1,4,1,0.95471128580527,0.202964199544556,0.0205072234176451,20,13,A,A
1,5,1,1.02533534366118,0.209960339288768,0.0238318529219328,25,15,A,A
1,5,2,1.01237744208885,0.210241850087541,0.0238318529219328,25,20,A,B
1,6,1,1.79925749519343,0.196144842869414,0.0164193025494818,30,17,A,A
1,6,2,1.82156463341285,0.197898550360171,0.0164193025494818,30,22,A,B
1,6,3,1.82967315113136,0.197664771152482,0.0164193025494818,30,27,A,B
1,7,1,0.666880411358837,0.211356756696857,0.0365002720156372,35,19,A,A
1,8,1,0.995775751432168,0.308708573416415,0.0298518448664618,40,21,A,A
1,9,1,0.727317391426657,0.230209548710943,0.0334653754210962,45,23,A,A
1,10,1,0.995909699600571,0.147487778675329,0.0311686428672112,50,25,A,A
1,10,2,1.0436645452991,0.146868482202835,0.0311686428672112,50,30,A,B
1,11,1,0.643811890213126,0.202966954140553,0.0158891584743398,55,27,A,A
1,11,2,0.617968350830024,0.202184042047233,0.0158891584743398,55,32,A,B
1,12,1,1.43309182750288,0.184916466324441,0.0234373864795517,60,29,A,A
1,12,2,1.47139665166532,0.18632056413465,0.0234373864795517,60,34,A,B
1,13,1,1.06702523141702,0.22002187103467,0.0334722736399734,65,31,A,A
1,14,1,0.848213207357092,0.155063497765662,0.0281362659131904,70,33,A,A
1,14,2,0.872929867653565,0.156263691342063,0.0281362659131904,70,38,A,B
1,15,1,1.40042845797678,0.253657520623247,0.0498414543974763,75,35,A,A
1,15,2,1.34056749620291,0.25815485800506,0.0498414543974763,75,40,A,B
1,15,3,1.33563154061625,0.25612913745064,0.0498414543974763,75,45,A,B
1,16,1,0.784859206423265,0.274509403995272,0.0317249201291581,80,37,A,A
1,16,2,0.82445052967649,0.27067123179395,0.0317249201291581,80,42,A,B
1,17,1,0.781756989797772,0.185697091971591,0.0394186539610935,85,39,A,A
1,17,2,0.794133342290966,0.188335869088361,0.0394186539610935,85,44,A,B
1,17,3,0.82050506610731,0.190176028472261,0.0394186539610935,85,49,A,B
1,18,1,0.484207460089857,0.312730695262569,0.0206230281902202,90,41,A,A
1,18,2,0.517245109870297,0.308962177748312,0.0206230281902202,90,46,A,B
1,18,3,0.516442650602381,0.309465459788283,0.0206230281902202,90,51,A,B
1,19,1,0.799171723829803,0.119966151646275,0.040310186645057,95,43,A,A
1,19,2,0.808956191855817,0.118757623531117,0.040310186645057,95,48,A,B
1,20,1,1.45176615215394,0.280393588704506,0.0310804024668808,100,45,A,A
1,20,2,1.43196367674222,0.281534435371436,0.0310804024668808,100,50,A,B
1,21,1,1.31681611798556,0.227817282682393,0.0537933880390088,105,47,A,A
1,21,2,1.23344880151418,0.227291519216115,0.0537933880390088,105,52,A,B
1,22,1,0.607354160083388,0.266437934494162,0.0374343863200391,110,49,A,A
1,22,2,0.649587276484243,0.264522260747244,0.0374343863200391,110,54,A,B
1,22,3,0.620116752596018,0.268297880615032,0.0374343863200391,110,59,A,B
1,23,1,1.85031113951888,0.16361205254681,0.0626576679285256,115,51,A,A
1,23,2,1.96675031060268,0.16576902334347,0.0626576679285256,115,56,A,B
1,23,3,1.9347505796241,0.163655560249318,0.0626576679285256,115,61,A,B
1,24,1,0.637218484249184,0.19042525450898,0.0209407944259153,120,53,A,A
1,24,2,0.656836071456467,0.189754232187806,0.0209407944259153,120,58,A,B
1,25,1,1.44856206874176,0.204626373295471,0.0362488693415539,125,55,A,A
1,25,2,1.54902509277776,0.203838674878599,0.0362488693415539,125,60,A,B
1,26,1,1.54903036801718,0.196793824981185,0.0295299076765808,130,57,A,A
1,26,2,1.61304581354949,0.195509445512254,0.0295299076765808,130,62,A,B
