parameter,value,se_sa,rse_sa
ka_pop,1.54611380667703,0.296647621298642,19.186661422823
V_pop,32.4204782893662,1.22517451115542,3.77901430145549
beta_V_lw70,0.760116652011137,0.267804056767407,35.2319681536833
Cl_pop,2.82242813422596,0.235710503402939,8.35133764947331
beta_Cl_lw70,0.581829088549242,0.625052137028099,107.428822197019
omega_ka,0.631751924539837,0.150153178493907,23.7677437394872
omega_V,0.0974677341380772,0.0347046322149646,35.6062778332371
omega_Cl,0.264836361401629,0.0636548917524893,24.0355559242696
a,0.582785492099439,0.117127615005291,20.0978947817228
b,0.076073789097841,0.0305700884420586,40.1847848051073
