id,Tlag,ka,V,Cl,Imax,IC50,kin,kout
100,0.580961,0.321492,8.14111,0.273383,0.999996,1.25894,5.08479,0.0544359
1,1.22442,0.871119,7.98445,0.111507,0.999996,1.64836,5.39974,0.0532191
2,0.714115,0.828228,8.05845,0.133786,0.999996,1.79639,5.41171,0.0542478
3,0.859048,0.940159,8.56547,0.111088,0.999996,0.549039,5.33688,0.0540526
4,0.877412,2.14207,5.06398,0.0722603,0.999997,1.4387,4.92791,0.0547997
5,0.830512,1.84009,11.5516,0.170194,0.999996,0.608064,5.33158,0.0538787
6,0.748546,1.78093,5.84973,0.244163,0.999996,1.45379,5.67626,0.0541169
7,0.714096,3.49434,8.07592,0.175697,0.999996,1.09544,5.06597,0.0550597
8,0.818943,0.38203,5.40841,0.109362,0.999996,1.07389,5.13842,0.0549018
9,0.899946,1.27855,8.91811,0.116391,0.999996,1.21064,5.11579,0.0547269
11,0.814578,1.7553,7.56338,0.131326,0.999996,0.848106,5.36536,0.053785
12,2.82869,1.169,7.31634,0.133755,0.999997,0.675455,4.93202,0.0560844
13,1.33836,2.09218,9.00241,0.170805,0.999996,0.71873,5.05942,0.0543323
14,0.902139,2.52027,6.08959,0.155582,0.999996,1.15733,4.98118,0.055487
15,0.545446,1.553,6.65311,0.0983322,0.999996,1.1051,5.39314,0.0537247
16,0.87093,1.49415,5.87753,0.096991,0.999996,2.45373,5.40242,0.0540542
17,0.825203,1.61709,10.6445,0.149046,0.999996,0.834561,5.34449,0.054078
18,0.80886,1.45585,8.47718,0.177273,0.999996,0.70408,5.33069,0.0542278
19,0.857743,1.9289,8.98433,0.178231,0.999997,0.589391,5.33553,0.0538047
20,0.938497,1.06726,6.87104,0.0950189,0.999996,1.57195,5.37755,0.0537935
21,0.829332,1.69115,8.63801,0.144264,0.999997,1.74308,5.38279,0.0540707
22,0.777103,1.26674,6.00732,0.100615,0.999996,2.12138,5.36679,0.054617
23,0.83436,1.7665,8.15092,0.120549,0.999997,0.869735,5.34803,0.0540223
24,0.738813,1.47684,9.97839,0.110467,0.999996,2.35719,5.07901,0.0557351
25,0.800102,1.28655,7.11038,0.105945,0.999996,1.33741,5.34766,0.0545746
26,1.0373,0.818617,8.88612,0.120868,0.999996,1.14009,5.37443,0.0535463
27,0.761527,1.16573,7.26611,0.123245,0.999996,1.94951,5.3694,0.0549176
28,1.00468,1.20695,8.96138,0.135502,0.999996,0.823073,5.36412,0.0536144
29,0.778453,1.56517,12.4711,0.195239,0.999996,1.5898,5.02002,0.055529
30,0.935535,1.33079,7.8479,0.125441,0.999996,1.61317,5.38825,0.0538266
31,0.955808,1.22551,9.71458,0.14163,0.999996,1.78271,5.39634,0.0537081
32,0.892466,1.40434,7.73796,0.10225,0.999996,1.17011,5.34896,0.0538224
